timestamp,event_type,track_id,category,class_name,confidence,plate_text,ocr_confidence,status,details
2026-09-08 12:22:31,INTRUSION_ALERT,4,human,person,0.798,-,0.0,UNKNOWN_INTRUDER,"UNKNOWN PERSON | Crossed Sector B Pedestrian Tripwire (OUTBOUND (Northbound)) at (478, 277)"
2026-09-08 12:22:33,AUTHORIZED_PATROL,1,human,person,0.842,-,0.0,AUTHORIZED_PATROL,"Constable R. Singh (SSB-4587) | Crossed Sector B Pedestrian Tripwire (OUTBOUND (Northbound)) at (404, 277)"
2026-09-08 12:22:34,INTRUSION_ALERT,3,human,person,0.828,-,0.0,UNKNOWN_INTRUDER,"UNKNOWN PERSON | Crossed Sector B Pedestrian Tripwire (OUTBOUND (Northbound)) at (434, 277)"
